app_id,run_id,client_id,work_id,title,inn,positiontitle,standing,standingfrom,fullstanding
4770,2018804,3691,88403,,,,3.00,,125.00
7521,619706,5596,126559,ООО СТРОЙЦЕНТР,912387179751,Врач,51.00,2015-07-21,51.00
7522,619796,5599,126596,ООО СТРОЙЦЕНТР,912387179751,Врач,51.00,2015-07-21,51.00
7524,619925,5605,126658,ООО СЕЛЬХОЗСНАБ,4027185277,разработчик,133.00,2008-07-16,133.00
7528,620596,5611,126836,ООО ЭЛИТ-СТРОЙ,4056831274,рук проекта,59.00,2015-01-01,120.00
7529,620597,5612,126837,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7529,620601,5612,126839,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7530,620618,5613,126850,ООО ЭЛИТ-СТРОЙ,4056831274,рук проекта,59.00,2015-01-01,120.00
7531,620619,5614,126851,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7531,620622,5614,126854,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7532,620672,5616,126877,ООО ЭЛИТ-СТРОЙ,4056831274,рук проекта,59.00,2015-01-01,120.00
7533,620673,5617,126878,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7533,620677,5617,126880,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7534,620678,5619,126881,ООО ЭЛИТ-СТРОЙ,4056831274,рук проекта,59.00,2015-01-01,120.00
7535,620679,5620,126882,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7535,620686,5620,126886,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7536,620689,5622,126888,ООО ЭЛИТ-СТРОЙ,4056831274,рук проекта,59.00,2015-01-01,120.00
7537,620690,5623,126889,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7537,620691,5623,126890,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7538,620697,5625,126893,ООО ЭЛИТ-СТРОЙ,4056831274,рук проекта,59.00,2015-01-01,120.00
7539,620698,5626,126894,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7539,620704,5626,126898,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
7540,620860,5628,126981,ООО ЭЛИТ-СТРОЙ,4056831274,рук проекта,59.00,2015-01-01,120.00
7541,620861,5629,126982,ООО ПРОТОН,8887883226,лторгшрт,51.00,2015-10-10,308.00
