app_id,run_id,client_id,work_id,title,inn,positiontitle,standing,standingfrom,fullstanding
4770,2018804,3691,88403,ООО AA,,,3.0,,125.0
7521,619706,5596,126559,ООО AB,912387179751.0,Врач,51.0,2015-07-21,51.0
7522,619796,5599,126596,ООО AC,912387179751.0,Врач,51.0,2015-07-21,51.0
7524,619925,5605,126658,ООО AD,4027185277.0,разработчик,133.0,2008-07-16,133.0
7528,620596,5611,126836,ООО AE,4056831274.0,рук проекта,59.0,2015-01-01,120.0
7529,620597,5612,126837,ООО AF,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7529,620601,5612,126839,ООО AG,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7530,620618,5613,126850,ООО AH,4056831274.0,рук проекта,59.0,2015-01-01,120.0
7531,620619,5614,126851,ООО AI,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7531,620622,5614,126854,ООО AJ,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7532,620672,5616,126877,ООО AK,4056831274.0,рук проекта,59.0,2015-01-01,120.0
7533,620673,5617,126878,ООО AL,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7533,620677,5617,126880,ООО AM,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7534,620678,5619,126881,ООО AN,4056831274.0,рук проекта,59.0,2015-01-01,120.0
7535,620679,5620,126882,ООО AO,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7535,620686,5620,126886,ООО AP,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7536,620689,5622,126888,ООО AQ,4056831274.0,рук проекта,59.0,2015-01-01,120.0
7537,620690,5623,126889,ООО AR,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7537,620691,5623,126890,ООО AS,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7538,620697,5625,126893,ООО AT,4056831274.0,рук проекта,59.0,2015-01-01,120.0
7539,620698,5626,126894,ООО AU,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7539,620704,5626,126898,ООО AV,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7540,620860,5628,126981,ООО AW,4056831274.0,рук проекта,59.0,2015-01-01,120.0
7541,620861,5629,126982,ООО AX,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7541,620862,5629,126983,ООО AY,8887883226.0,лторгшрт,51.0,2015-10-10,308.0
7542,620986,5631,127034,ООО AZ,4056831274.0,рукол,173.0,2005-01-01,241.0
7543,621006,5632,127045,ООО BB,4008864852.0,Юрист,121.0,2009-11-04,132.0
7544,621076,5634,127079,ООО BC,4008864852.0,Юрист,121.0,2009-11-04,132.0
7545,621104,5635,127095,ООО BD,596751311.0,шеф,179.0,2005-01-01,179.0
7546,621157,5637,127126,ООО BE,9196821613.0,Должность,65.0,,65.0
7547,621198,5638,127150,ООО BF,9235833119.0,Ведущий специалист,13.0,2018-12-12,48.0
7548,621306,5640,127193,ООО BG,4056831274.0,рукк,58.0,2015-02-03,78.0
7548,621307,5640,127194,ООО BH,4056831274.0,рукк,58.0,2015-02-03,78.0
7549,621373,5641,127224,ООО BI,7930804888.0,Специалист,120.0,2009-12-24,135.0
7549,621378,5641,127226,ООО BJ,7930804888.0,Специалист,120.0,2009-12-24,135.0
7550,621557,5643,127311,ООО BK,7930804888.0,Специалист,120.0,2009-12-24,135.0
7550,621561,5643,127313,ООО BL,7930804888.0,Специалист,120.0,2009-12-24,135.0
7551,621739,5644,127381,ООО BM,4027185277.0,разработчик,133.0,2008-07-16,133.0
2050007604,619334,2000079701,126406,ООО BN,,,47.0,2016-10-18,152.0
2050007604,619376,2000079701,126414,ООО BO,4056830951.0,должник,47.0,2016-10-18,152.0
2050007604,619383,2000079701,126417,ООО BP,4056830951.0,должник,47.0,2016-10-18,152.0
2050007608,619528,2000079801,126483,ООО BQ,,,48.0,2016-09-27,189.0
2050007608,619545,2000079801,126490,ООО BR,4056830951.0,сотрудник,48.0,2016-09-27,189.0
